group_name,video_id,title,view_count,like_count,comment_count,positive_ratio,negative_ratio,neutral_ratio,published_at
해은_규민,p4iN8KZ5AMM,[#환승연애2] &quot;너 진짜 너무한다..&quot; 나연과 데이트하고 싶다는 규민의 말에 오열하는 해은💧 | #샾잉,702313,3634,0,0.0,0.0,0.0,2022-10-06T16:00:25Z
해은_규민,9VqxbbhvbQA,[환승연애2] 해은규민의 X룸,697144,5927,0,0.0,0.0,0.0,2022-09-08T15:31:00Z
희두_나연,A-hkFmmn8Ew,[하이라이트] ※주의※ 환승연애 아님💦 달달하다가도 바로 싸우는 현실 커플 &#39;희두X나연&#39;의 극한연애 | 극한투어 | JTBC 240929 방송,694699,3246,799,0.33,0.33,0.33,2024-09-29T15:21:18Z
해은_규민,wpDR_yvE-mk,환승연애2 마지막화 - “마지막 문자가 있었으면 너한테 보냈을거야“ 규민해은,690421,4706,396,0.67,0.33,0.0,2022-10-28T14:30:10Z
희두_나연,YFVQ2M8pYFc,[#환승연애2] 무엇이 희두 X 나연을 대화 지옥에 가두었나... 좁혀지지 않는 둘의 의견 차이💦 | #편집자는,678788,2257,0,0.0,0.0,0.0,2022-10-07T10:00:21Z
희두_나연,2Bu73H_m0W4,"[ENG] 5년 만난 애인에게 환승이별 당했습니다. | 귬쪽상담소 Ep1-2 「남희두, 이나연」",640749,6687,206,0.33,0.33,0.33,2023-09-19T07:00:01Z
희두_나연,EKUVt9Ap63g,[환승연애2] 희두 앞에서 응애가 되는 나연과 툴툴거리면서 챙겨주는 희두 / 그런 희두가 짱 좋은 나연ㅋㅋㅋ,625181,2961,153,0.67,0.0,0.33,2022-10-07T17:20:43Z
희두_나연,MyaWVpskWQI,나연X희두 결혼 계획은?!,622967,9413,51,0.67,0.33,0.0,2024-05-14T09:00:27Z
희두_나연,mvVanP0rBFM,[#환승연애2] 너와 결혼까지... 생각했어... 연애 3년 차에 맞춘 희두 X 나연의 커플링 ... 💍😭 | #지금꼭볼동영상,608753,2785,0,0.0,0.0,0.0,2022-09-17T00:05:00Z
희두_나연,RrWteTo-iak,나연을 이해하는 건 오직 희두 #환승연애4,604727,3652,0,0.0,0.0,0.0,2025-09-22T09:00:40Z
희두_나연,mzPMGrfyRlY,[#환승연애2] 나연 강아지 못생겼다하는 희두 #shorts,570894,0,94,0.33,0.67,0.0,2022-08-13T06:08:19Z
해은_규민,0lmA5BMnZ5s,[#환승연애2] 해은이 원했던 게 이거잖아ㅜㅜ!! 서로가 힘들어질까 봐 철벽쳤던 규민과 속상해서 매일 울었던 해은의 속마음 토크🥺 | #샾잉,566238,3346,0,0.0,0.0,0.0,2022-09-08T15:02:00Z
희두_나연,nAF_cSBGcf8,6주년 기념 스케이트장에 간 희두X나연⛸️,563117,10779,39,1.0,0.0,0.0,2024-02-08T10:00:38Z
희두_나연,4ipRgPlzHz4,(SUB) 나연 둘에 희두 둘 (feat. 강형욱 선생님),539020,7530,234,0.67,0.33,0.0,2023-03-10T07:00:01Z
희두_나연,8jvIWS0v6vQ,"[#환승연애2] 희두와 함께 있는 시간동안 요동치는 감정... 희두의 행동 하나, 말 한 마디가 속상해서 울컥한 나연 | #지금꼭볼동영상",531239,1981,0,0.0,0.0,0.0,2022-10-29T00:00:26Z
